----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREDENTIAL ACCESS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1003.001 LSASS Memory	                                            Atomic Test #4 - Dump LSASS.exe Memory using NanoDump                                                                                                           Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1003.001 LSASS Memory	                                            Atomic Test #5 - Dump LSASS.exe Memory using Windows Task Manager                                                                                               --> MANUAL 
T1003.001 LSASS Memory	                                            Atomic Test #6 - Offline Credential Theft With Mimikatz                                                                                                         Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1003.001 LSASS Memory	                                            Atomic Test #7 - LSASS read with pypykatz                                                                                                                       Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1003.001 LSASS Memory	                                            Atomic Test #8 - Dump LSASS.exe Memory using Out-Minidump.ps1                                                                                                   Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1003.001 LSASS Memory	                                            Atomic Test #9 - Create Mini Dump of LSASS.exe using ProcDump                                                                                                   Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell
T1003.001 LSASS Memory	                                            Atomic Test #10 - Powershell Mimikatz                                                                                                                           Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1003.001 LSASS Memory	                                            Atomic Test #11 - Dump LSASS with createdump.exe from .Net v5                                                                                                   Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1003.001 LSASS Memory	                                            Atomic Test #12 - Dump LSASS.exe using imported Microsoft DLLs                                                                                                  Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1556.002 Modify Authentication Process	                            Atomic Test #1 - Install and Register Password Filter DLL                                                                                                       Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
